content,score
"Sistemnya licik, seolah menganggap pengguna itu bodoh dan gampang dijebak pakai iming-iming koin Rp500. Padahal itu cuma pancingan supaya izin akses data pribadi kita otomatis terhubung ke game atau pihak ketiga tanpa sadar. Sekali klik 'Klaim', akun langsung terikat dan sangat susah diputus atau dihapus permanen. Jangan manfaatkan ketidaktahuan orang demi data! Tolong buat sistem yang jujur dan transparan, bukan jebakan Batman yang merugikan privasi seperti ini. Benahi segera!""",1
sangat membantu aekali,5
mantap,5
relax,5
aplikasinya sangat membantu dan mudah dipakai,5
cepat sampai,5
kemudahan dlm setiap perjalanan,4
Mayan,5
FINDAYA 👎,1
saya suka naik gojek karena mudah pesen nya dan cepat sampai nya,5
"sorry newbie, belum bisa komentar apa apa",5
"payah bgt masa saya di cancel 5 kali perkara hujan gede dan mentang2 jarak yg sy pesen deket, gmn sih!!",2
"driver yang tak jujur, dan pelayanan gojek sangat lambat",1
bisa membantu saat butuh kendaraan,5
mantap,5
mantap,5
keren hatur nuhun,5
very recommended,5
"buat apa ada program hemat kalau ga ada driver yang ambil/pick up. hapus saja, ga berguna, wasting time",1
aplikasi ok. tapi promo harus sering,5
kurang memuaskan,2
masih sering eror ketika hujan,3
😍😍😍,5
sebenarnya aplikasinya sudah bagus cuma sering kali ada bug yang bikin kurang nyaman antara penumpang dan driver tolong diperbaiki lagi ya selebihnya bagus dan aman,4
perjalanan aman dan menyenangkan sangat terbantu tapi kalau bisa yang layanan hemat ditingkatkan lagi karna terkadang sangat membutuhkan itu,5
"pesan gojek prioritas sampai gocar prioritas tetap tidak bisa, silahkan tunggu beberapa menit lagi pas dicoba tetap ga bisa padahal urgent. jadi fungsi gojek biasa/prioritas ga ada guna'nya.",1
"suka error, barusan kejadian gabisa di cancel drivernya akhirnya sampe dateng ke rumah akhirnya kita bayar, di tingkatin lagi lah aplikasinya",3
cepat respon,5
gojek nya lumayan bisa cepat sampai,5
"gak respect maaf, kenapa pas emergency malah susah nyarinya padahal di area kota besar loh, alhasil naik ojek offline.",1
"ini knp ya gojek di gopay pinjam nya gak lgsg cair. pdhl langkah nya tinggal pencairan. di keterangan 2X24 jam , ini udh 3 hari blm cair juga. padahal pengajuan hari Jumat !!",3
"maaf ya saya kasih bintang 4 selain mahal, lama",4
APLIKASI GA BISA DI PESAN. INFO RAME dan lagi padet,1
"hari ini tgl 16 februari aplikasi error dari pihak driver / customer, saya tidak bisa cancel begitupun driver tidak bisa pickup/cancel. lapor admin ig juga ga ada tanggapan gajelas",1
"gajelas segala ada fitur gabisa nerima transaksi dulu karna lagi rame rame nya, orang lagi buru buru di persulit gini, udah coba relog lagi tetep aja sama gabisa order 😒👎",1
"giliran urgent, mau digunakan, malah gangguan. goblok.",1
"1setengah jam nunggu gaada driver nyantol😭 ,sampek telat kerja",4
server padat tidak bisa order,1
"biasa pake gojek aman"" aja eh pagi ini mau berangkat malah ada pemberitahuan apl sibuk ga bisa nerima transaksi,emng serame apa sii sampe ga bisa nerima customer aneh padahal driver banyak hadehh jadi telat berangkat kerja gara"" gojek",1
bagus,5
ko KL mau isi pulsa di gojek nape skr ga bisa sih tumben2 ga bisa,5
Bagus dan bermanfaat,5
semoga semakin maju,5
oke sih kalau mau d butuhkan dlm keadaan darurat jangan lh bermasalah gojek ny terimakasih,5
kesiangan se kesiangannyaaa pesen 7.30 dateng 7.45 pas mau pergi gabisa gara2 driver ga bisa geser pesanan apk mendadak eror keseeeek absen gw woy jd masalah,1
"Jujur kecewa padahal udah lama pake, aplikasi server down 30 menit, tiket kereta jadi hangus ga jadi pulang, gara gara server down. Minimal kalau tau pengguna naik di up servernya",1
ini kalo hujan drivernya emang gamau ngambil orderan apa gimana? PADAHAL ADA BENDA YG DINAMAKAN JAS HUJAN EMANG MEREKA PADA GAPUNYA APA!!?,1
blm bgtu tau,4
aplikasi tolol. eror disaat butuh.....,1
ini apaan sih APLIKASI.. masa eror koneksi bagus tpi nyari driver susah bgt. ga dapet2,1
mantap terpercaya,5
so far tidak pernah bermasalah,5
sangat membantu,5
the best,5
"susah buat dapet driver, dan selalu dikasih driver yang jauh bangett.. kalau pagi banyak driver yang ambil orderan tapi mereka ga mau jalan dan berakhir telat karena nunggu dapet driver yang bener"" mau kerja.",1
"entah kenapa tiap topup dari e wallet lain pasti nominalnya berkurang dikit, contoh topup 65.500 (plus biaya admin +999) ehh yang muncul malah cuman 64.500 yah mungkin nilai ini kecil tapi klo nilai sekecil ini dibiarin kredibilitas ni aplikasi perlu dipertanyakan",1
APLILKASI YANG PALING BERMANFA'AT dlm Hidup sy☺😎😊,5
"Ini gimana sih, tiap driver nelpon cuma masuk geter-geter doang ga ada tampilan telponnya. Drivernya banyak yang jadinya marah-marah ama kita karena ga ngangkat telpon mereka, padahal emang ga bisa, ga ada tampilan telpon yang masuk. Jelek banget deh, kalau belum siap rilis fiturnya jangan di rilis dulu. Ganggu banget.",1
semoga suk6,5
mantap,5
keren,5
"selama Saya yg pesan baik² sih, swmoga selalu hihihi",5
Ribet amat mau login regist,1
good job,5
"aplikasi mkin lama mkin gjls,buka gofood aja lemot bgt idih !! padahal jaringan bagus",1
maaf jek. skrg pindah ke maxim ato indriver dlu. penjemputan skrg dapat driver jauh mulu.,1
"apaan waktu gk berjalan minimal ada detail kelambatan kek atau gimana, udah 3 kali ini ngalamin, maaf bukan bermaksud menyalahkan driver cuman apknya seharusnya ada lah kayak update kendala apa gituuuu, gua pesan jam berapa baru dapet driver juga jam berapa, aneh juga sih gitu loh....., kalo sekiranya gk ada driver yaaa maximal yaaaa kasih 15 menit aja lah buat cancel pesanan, kasigan drivernya kalau ke acc tapi waktunya mepet",1
jadi mitra goride gimana ya,5
mantap,5
"sangat sangat mengecewakan, pembelian gofood saya, ini udah 2x saya pesan, gk ada driver trus.",1
mantap,5
bagus tpi jarang make grgr ongkir mahal plus lebih enak di gofood in my bapa muach,4
Baik,5
"saat hujan gk ad yg dapat GOCARNYA, percuma dong padahal udah pesan harga yg mahal",1
bagus banget,5
harga murah standart terjangkau,5
"Aplikasi gojek ini lama-lama bikin gak nyaman,udah mah gak pernah dapet voucher diskon buat pesen makanan,udah gitu aplikasi nya loading terus sampe mau pesen aja gak bisa,padahal jaringan saya bagus malah di bilang 'Yah internet nya mati' TOLONG DI PERBAIKI LAGI DEMI KENYAMANAN CUSTOMER !!!!",1
"nyaman, cepat waktu penjemputan, tanggung jawab",5
"di kasih bintang 5 trus, makin lama nyantol nya, di kasih 1 marah"" mau nya apa si",1
"gangguan di saat yang tidak tepat, always !",1
lebih profesional lagi dalam pelayanan,4
baru pertama kali ini mengunakan aplikasi ini sangat memuaskan,5
"go ,gunakan gojek",5
mantab paman,5
good,5
sangat membantu sekali,5
menyenangkan,5
bgus,5
"sebenernya apk ini udh lumayan oke, tapi tolonglah di bagian alamatnya disesuai-in, masa titik alamat udh bener tp nama alamatnya salah, kan bikin bingung. jadinya ribet buat customer sm kurir/ojek (udh sering salah paham krn alamatnya ga sesuai), titik alamat yg udh tersimpan jg tiba-tiba berubah sendiri pdhl gak diedit, udh gitu tolong dibagian kolom buat ngisi nama alamatnya dibikin supaya bisa ngetik lebih banyak kata biar bisa ngetik alamat lengkap yg betul, kaya di aplikasi sebelah.",3
"aku mau cerita pengalaman aku selama pakai aplikasi kamu, aku pakai gojek pasti kena driver yang kurang ajar (driver mobil) mereka ga mau CANCEL ORDERAN JADI SENGAJA DIEM DI SATU TITIK LAMAAAA, maksa kita sebagai pengguna buat cancel, AKU SAMPAI KENA SUSPEN TAHU AKUN NYA, berkali-kali di giniin driver gojek, kalo aku keras Kepala bakalan aku tungguin ampe dia nyerah, tapi kan aku buru-buru mau kesuatu tempat, ada lagi yang kurang ajar kalo kita make hemat, tolong kasih solusi :(",1
ribet mau pesen ojek bukan mau pinjem duit pake peripikasi wajah mana gagal Mulu gatau knapah,1
orang nya ramah,5
good application,5
kecewa sama para driver kalau hujan gak mau ambil orderan. 2kali di cancel padahal saya pakai yg tercepat. dan saya pesan juga gak cuma2 pasti saya kasih fee. kecewa,3
terlalu lambat...udah 2jam pesan makanan belum juga datang.......,1
"barusan beli gojek plus, tapi malah gak dapat driver, NUNGGU 2 JAM, SAMPE 2 KALI ORDER GAK DAPAT DRIVER, gajelas bgt fitur driver pilih2 orderan, padahal mau makan udah pake gopay jg, aneh bgt",1
Saya mau daftar jadi Driver gojek tapi nggak tau caranya. saya berdomisili di Pekan baru,5
susah driver,1
aplikasi gak jelas kuota internet ada sinyal bagus tapi malah gak bisa masuk ke beranda,1
bertahun tahun menggunakan gojek tapi dikecewakan dengan gofood hampir satu jam ga dpt driver padahal bayar mahal dan pilih prioritas/ekspres bukan ongkir reguler. KECEWA..,1
"tolong la, kalau cari driver itu yanh dekat, ini dirver nya juga ga jelas muter2",1
"baru pertama kali gua diginiin padahal pakai aplikasi ini sudah beberapa tahun. gua pesen gocar di spbu shell dket mall alam sutera di cancel 7x, trus pesen gojek ga ada yg pick up sama sekali. cukup kecewa sih dengan layanannya ini",1
tolong jangan adain cancel buat driver..bikin susah pelanggan.masa di lokasi terdekat ada 5 driver ga ada yg nyahut..juga ongkos hemat hapus aja.males denger driver ngeluh.trims,2
"lama banget nyari pengemudi nya, ga dapet dapet padahal saya di wilayah bandung yang ramai banget penduduknya, 👎🏻",1
"skrg susah bgt dpt driver .. pdhal dititik apk bnyk driver dn yg kedua hr ini pesen gofood ga dpt driver dicancel juga ga bs .. disrh nggu sejam baru bs di cancel , kepusat bantuan juga sama aja ga mmbantu sm skli .. sdgkn mau chat restonya juga ga bisa .. mmg agak lain skrg gojek nie .. malas bgt pke apk ini lagi",1
Masih masalah yang sama: gofoodnya susah di saat malam hari terutama setelah hujan. Terlalu sibuk? Kurang banyak gojeknya. Tambahkan personal atau entah gimana caranya biar gak php pelanggan. Masa cuma bisa nyari makan pagi-sore aja? Apalagi bentar lagi ramadhan. Hoki-hokian banget.,2
gofood nya lama suka delay,1
"harga sering berubah tiba-tiba, awalnya murah, setelah 5 menit kemudian harga narik 5-10rb. dan juga claim 15rb gratis voucher karena telat datangnya nggak bisa. aplikasi sering scam kayak pemerintah",1
"sering di cancel sama driver gocar, kadang udah Nerima orderan tapi gak sampai² tujuan sampai nunggu nya lama, pas ditanya malah dicancel, minimal sih ada kepastian ya tolong dong gojek dibenerin lgi, udh berkali² dicancel trs",2
MASIH BANYAK DRIVER YANG TIDAK ADA DD NYA DI BELAKANG,1
masih banyak driver yang tidak ada DD nya di belakang.,1
ad apa ni gojek kok lemot bgt cari driver,2
GO-JEK naik,5
menunggu driver sangat lama saya sudah menunggu selama 2 jam lebih dan tidak ada yang datang,1
"naik gojek motor aman dan nyaman driver ramah,sehat2 y pak driver",5
ok,5
"gofood kenapa bermasalah banget.. klo emang susah nyari driver, setelah 10 menit tolong kasih opsi cancel pesanan, masa customer disuruh nunggu SEJAM untuk dapat driver, klo ga dapat baru bisa di cancel. SEJAM NGAPAIN? udah kejadian dua kali, benci banget. tolong evaluasinya mengingat gofood dipakai banyak orang",3
sangat puaasss,5
mantapp👍👍,5
membantu,5
walau hujan tetap tanggung jawab utk mengantarnya,5
sangat mudah d gunakan ketika mager kemana2,4
aman,4
"Lagi Hujan payah nya mencari driver, sampe sejam nunggu. bahkan udah dpt driver malah minta cancel!",1
ok banget,5
Bagus,5
saya sangat berhargai dengan aplikasi gojek ini bisa mau punya tujuan lainnya apa yang saya mau lakukan baik dengan benar saya akan memberi nilai 5 ini untuk aplikasi gojek satu ini demikian saya sering pakai gunakan aplikasi ini bisa bebas ongkir dan ada promo murah ini saya sangat senang karena baru kali ini saya tidak menyesal dengan gunakan aplikasi gojek ini tidak akan pernah terjadi lagi jadi saya menghormati kepada aplikasi ini saya akan mengatakan sekian terima kasih untuk aplikasi ini.,5
mantaaab,5
sangat memuaskan,5
ok,4
"driver nya baik,ramah 👍👍⭐⭐⭐⭐⭐",5
coba dlu appsnya nnti bintangnya ak tmbhin,5
tepat waktu dalam penjemputan penumpang,5
mantap,5
makin kesini makin ngaco .,1
boleh juga,4
cepat aman & amanah,5
bagus,4
"sejak kapan saya berlangganan gojek plus, transaksi otomatis tanpa sepengetahuan pengguna saldo langsung berkurang minimal ada persetujuan dulu atau konfirmasi transaksi",1
saya tidak sengaja memesan tapi tidak bisa dibatalkan padahal tidak butuh,1
puas,5
program hemat sungguh menyengsarakan driver mauoun customer,1
"Aplikasi sering menutup sendiri, Payah !!! sebagai driver bukan di kasih kesejahteraan malah di kasih aplikasi error terus, Saya akan perbaiki jika sudah di perbaiki. saya gojek driver jakarta, tapi orderannya selalu ke bekasi, bekasi yang sering banjir pula saya di arahkan orderannya.",3
mantap,5
"tiba² dapet spam chat suruh bayar utang padahal gaada minjem, i mean ini apk gojek loh? ini data sy bocor apa gimana ya? jujur spam chat nya ganggu.",3
tepat waktu,5
setiap mesan gofood gadapat ojek,1
"aneh, akhir"" ini setiap top up selalu berkurang seribu. gw barusan top up 100k tapi yang masuk malah 99k",2
bagus sekali,5
"csnya cepat menanggapi dan nyelesain masalah, tysm gojek",5
bagus,5
bagus,5
kenapa skrang susah dapa driver sih baik buat gofood atau buat pergi,3
sangat bagus,5
nice,5
baik,5
"makin kesini makan buruk ini aplikasi udah ketinggalan jauh sama kompetitor nya! alamat tujuan udah sedetail mungkin aja masih ga kebaca sama ini aplikasi, mending pake aplikasi gojek sebelah jauh kemana mana soal kualitas",1
mantap,5
"customer ad rating dri driver, stop gunain fitur itu saya jg ada bca kmen org di apk sebelah ad driver jg sngja ksih rating rendah krn driver sring dikasih tip dari customer jadi biar driver itu lagi aj yg ambil. enk jg kalo drivernya jujur ini kbnykan yang bohong, ini juga tiba tiba saya dicancel sama driver, mau driver sekarang apa, tolong di perbaikin lagi deh. sama pas hujan jg giliran pke hemat ga ada yg ambil, giliran tnp hemat eh cpt banget di ambil, dan driver jg ga ad bwa jas ujan 1 lg.",1
ssmakin terdepan,4
jelek. tolong dong diedukasi kembali drivernya. klo emang gamau ambil penumpang yg hemat jangan diambil. merugikan penumpang klo gini. klo emang begitu caranya mending gausah ada hemat. orang pilih hemat buat yg jarak dekat salah kah?,1
mantap,5
asik,5
"apk gag jelasss sih !!! pesen gofud udh nunggu hampir sejam , tiba2 dibatalkan dari apk katanya pesanan terlalu ramai , udh langsung balik ke tampilan awal , pas udh diulang pesanannya tiba2 dpt tlp dari driver nanyain rumah pesenan udh dtg , giliran pesanan yg baru mau dicancle gag bisa udh menghubungi pusat bantuan ...",1
aman terpercaya,5
tepat waktu dan mudah pesanya,5
ada susahnya ada bagusnya,5
"kalau pesan go car prioritas selalu datangnya lama, lbh dr 10 menit, pdhl sudah pesan prioritas, dan selalu tercantum di mapsnya kurnag dr 5 menit, namun kemudian mobil tidak datang2, dan maps berubah jd diatas 10 menit. Pengemudi susah di tlf. Lalu apa bedanya layanan prioritas dengan yg biasa? komplen ke cust service pun susah",1
mantap pokoknya,5
keren,5
Pesen instan malah dikirimnya sameday ditumpuk ama pesenan laen.. kocak nih aplikasi. pesen instan biar cepet !! jangan sameday pake gimmick instan !!!,1
"Sekarang gojek mahal. Apalagi gofood, ongkir mahal padahal jarak kurang dari 1 km. Biaya ongkir+penanganan lebih mahal dari harga makanannya. Harga makanannya pun lebih mahal daripada grab dan shopee, padahal di resto yg sama. Diskonnya jg minim, jarang, dan cuma berlaku utk pembayaran pakai kartu kredit tertentu aja. Potongan komisi ke driver dan resto kelewat besar. Kasihan driver dan UMKM nya. Aplikasi karys anak bangsa yg ngisep darah dan keringat mitra sesama anak bangsanya.",3
"awalnya dapat yg murah tapi drivernya pada belagu dan nolak saya sampai saya nunggu lama sekali, intinya kalau mau cepat diantar harus pilih harga mahal, jadi kalau mau hemat jangan pakai gojek",1
gada perlindungan dan jaminan untuk customer,1
aplikasi tolol pekerja nya pada males di order ga ada yang mau ambil sekali nya ada di cancel so kaya cuih,1
mantap,5
baik,5
oke banget,5
"semua ok,semua jadi mudah",5
"2026 sekarang sudah lebih baik, jadi ku update lagi.",4
sangat membantu,5
aplikasi lemot,1
aku suka bgt mana sring bgt dpt diskon di gofood. gw yg sbgai anak kost trbntu bgt🥰🙏,5
oke aja dah,5
masukin kode otp di nomer baru aja gk bisa.. sehat,1
sangat membantu.. terima kasih,5
mantep...,5
"untuk pihak manajement gojek dan terkait, tolong drivernya di suruh mandi dulu baru ngojek, karena tiap pesan gojek rata2 saya gak kuat nahan bau badan drivernya, bau apek sekali.. mana suka merokok lagi saat dalam perjalanan.. jadi asap rokoknyo itu sangat menggangu bagi kita penumpang",5
bagus,5
"tiap mau magrib pasti susah boking goride hemat, sangat mengecewakan",1
Ok,5
nice,5
"Min kalo bisa ngak usah ada paket hemat la, driver bike lu kayak ngak ikhlas nganter nya ngeluh mulu, nyampe berasa dihina gua",2
bagus membantu,5
"ini aneh gopay pinjam, ga masuk akal, sudah terlunasi tapi ancaman tetap berlanjut, parah !",1
"memudahkan yg mlz keluar BS d gojek gofood ajh layanan cepat, pengiriman jg cepat🙏",5
"driver banyak pake fake GPS(tuyul) kendaraan tidak sesuai aplikasi, dekat rumah banyak driver tapi malah yg jauh dapatnya, parah bgt nih aplikasi. kecewa download aplikasi ini,,,",1
"mantap ini apk, misalnya lagi mager tapi ada duit jadi gausah gerak",5
sangat berguna,5
kenapa tiba tiba ada pesenan ga food?? aaneh banget,1
lancar,5
anakku top up robux seharga 90 ribu pake gopay jadi 99.900 giiilaaaakkkk....,1
good service,5
bagus,5
gak bisa pakai shoope pay atau dana atau ovo,1
memudahkan beli makan disaat terkendala transportasi,5
bnyk diskon,5
lemot 👎,1
sangat baik dan nyaman,5
"terimakasih banyak gojek yang senantiasa menemani saya dari kuliah, hingga bekerja. Membantu saya pergi kemana mana bahkan sebelum saya punya kendaraan sendiri, membantu saya cari makan di saat sy lelah utk keluar, sahur, dan membelikan obat saat sy tidak kuat berjalan, serta membelikan buah tangan utk dikirimkan kpd kerabat. semoga gojek semakin sejahtera dari pimpinan s/d pelaksana lapangan, aamiin",5
ok ok ajassih sejauh ini GK ada masalh,5
"kenapa saya tidak bisa melakukan metode pembayaran gopaylater,pas mau chekout pembelian di aplikasi Tokopedia, untuk pembelian angsuran cicilan bulanan di Tokopedia.",2
Sagat senang,5
dengan adanya gojek perjalanan saya jadi santay,5
kalo lama gak dapat gojeknya pastinya gak bisa pesan,1
"tepat cepat ramah aman, sukses gojek",5
"tadi saya sempat pesen go car, pesanannya muncul, tetapi di driver tidak. jadi saya harus menunggu lama.",1
nice,5
eror,3
gojek mantapp,5
"KOCAK.... GOCATSNYA KADANG GAK BISA DIAKSES, CUMA LOADING DOANG. MENDING NGGAK USAH BIKIN DARI PADA BANYAK BUGNYA. APLIKASI AMATIR SOK-SOK'AN BIKIN PERMAINAN.",1
aplikasi nya Lama suruh driver lagian driver nya gak ramah,1
maaf. layanan pengaduan di aplikasi tidak tersedia karna ada kendala/perbaikan. jadi saya buat di sini aja.. mitra dari gojek mengamuk dan membanting helm saat di suruh membuka helm untuk masuk ke instansi kami. namun driver tersebut marah2 dan tidak mau mengikuti peraturan yg ada di sini. maaf driver arogan seperti itu apakah bisa diberi sedikit teguran soal sopan dan santun. etika dalam bertamu tidak ada. padahal kami menyambut dengan ramah. plat motor BM 5149 ABO. PEKANBARU.,1
Aplikasi gojek utk semua layanan sie bagus..tp cb tolong utk layanan GOMART selalu sering salah item barang yg dibeli..kasian drivernya harus bolak balik tukerin item yg salah gara2 karyawan gomart/alfamart..cb klw drivernya gk mau tanggung jawab yg rugi kan customernya,1
pesan go food lama sekali prosesnya. ujung2nya dicancel sepihak. aplikasi tidak menyediakan fitur cancel,1
"Gofood menunggunya sampai 1 jam lebih, di kota kecil....",2
"eh gojek, tolong langsung di update ya!! gua lagi nyari gambar buat kirim ke driver tapi malah gambar lain yang ke kirim, tolong lah klo lagi milih gambar biar bisa di ceklis dulu atau ada confirm buat make sure gambar ga salah!!! lah ini sekali pencet langsung ke kirim, klo salah pencet lagi scrol ke kirim foto lain!!! tolong di updateeee",1
manstappp,5
"Terdapat di media sosial yang memperlihatkan kalau masih banyak para driver goride itu melanggar aturan lalu lintas, seperti melawan arah, naik ke trotoar, dan bahkan merokok saat berkendara. Aku menyarankan untuk memberi hukuman bagi pelanggar mungkin dengan membekukan akun selama 1 atau 2 hari. Melaporkan si driver mungkin dengan cara si customer atau bahkan warga setempat yang melihat bisa memberi laporan ke cs atau pihak yang menangani, tentunya dengan foto berisi no plat dan pelanggarannya.",2
"udh 2 kali nunggu driver gofod 1 jam ga dpt2, ga bisa di batalin, harus nunggu batalin sendiri",1
enak dan nyaman,5
terpercaya,5
"estimasi waktu antar gofood klo bisa di kurangin, masa iya udah pakai express jarak cuma dekat estimasi 30-40 menit. keburu pingsan karna lapar.",1
mantap gojek semangat,5
Sudah 5 kali cari driver susah. Padahal ada beberapa yang dekat,1
"aplikasi ojol yang masih bisa di pake dan stabil dengan hp yang kapasitas ram nya 2 gb ,mantap pokonya gojek 👍,,,kalo bisa ukurannya di turunin dan di bikin simple aja biar makin lancar buat pengguna hp berkapasitas kecil",5
"mau pake prioritas atau gak sama AJA!! pake prioritas tuh biar cepet malah sering bgt dapet driver LEMOT merasa rugi banget. tolong di training lagi driver nya, pesen makan dari jam 7 sampe jam 9 lebih baru dateng, makanan saya udah dingin, kira² masih ada selera makan apa ga kalo gtu? ya jelas nggak! rugi waktu, rugi duit!",2
"Nyari driver untuk pesanan makananku gak becus, makanan udah siap, tapi sudah 1 jam masih belum diambil. Katanya ada kendala dalam pencarian driver, namun gak bisa gitu dong. Memang uangku kembali, tapi waktu yang aku habiskan untuk menunggu tidak akan pernah kembali. Apalagi kompensasi hanya berupa voucher yang gak seberapa.",1
"gak suka, masa kalau driver sibuk harus nunggu sampe 1 jam nyari drivernya, terus gak bisa dibatalin akhirnya kelaparan nungguin makanan yg gak dtg dtg",2
Gak jelas makin parah lama nunggunya padahal driver banyak,1
lama banget dapet driver susah padahal di apk nya banyak yg Deket sekalinya dapet yang jauh,1
"bubarin aja, udh nunggu 1 jam tiba"" dibatalin",1
bagus,5
sangat memuaskan,5
oke,5
"aplikasi buruk, dicancel 2x, kalau ngga niat, jangan buka app",1
pelayanan nya cepat dan tidak.mengecewakan,5
saran untuk tim yang bersangkutan. dengan keluhan saya saat ini. dalam beberapa hari saya sering pakai gocar untuk ke RS. gila harganya gak ngotak tiap pesan 60rb di jarak 20km dri rumah saya ke Rumah Sakit. tolong di atur lagi. mungkin khusus untuk tujuan di rumah sakit harga di sesuaikan jam berapapun order entah pagi atau malam hari. dan drivernya juga jika kena promo sama sekali gk ada yang ambil hampir 1jam waktu ke buang karena gk ada yg menerima tarif promo dan promo itu hanya 1x.,2
jelek pelayanan,1
bgus,5
pengemudi sikapnya baik,5
"server sampah, penipu",1
"Makin kesini nyari driver makin susah, padahal dulu awal² gampang bgt",1
kecepatan oke,5
"akhir"" ini sulit buat dapet gojek tolong di perbaiki",3
"shopy food, klo dapat driver di daerah batam, 1 detik kita langsung dapat driver, aplikasi GO-JEK ongkir nya mahal dari shopy food, dapat driver susah, apa yg salah",1
"aplikasi nya banyak bug nih , jadi kalo pesan gofood kadang saya sama driver yang antar makanan gak bisa kirim foto saya nya gak ada tampilan nya padahal biasanya ada tapi sekarang selalu bug gak ada atau gak bisa telpon lebih parah nya jadinya saya kena dampak buruk nya dari driver nya tolong di benerin bug nya yah!!!",1
udah laganan tapi tarif/biyaya terlalu mahal beda Ama aplikasi sebelah mohon di turunkan tarif/biyaya agar tambah banyak pelanggan nya,1
"layanan ok siap sigap ,,, mohon laporan sayah tolong di perosesss makasih 🙏🙏🙏🙏",5
cari drivernya susah. giliran dapet malah di cancel.,1
Mana gojek pinjaman,5
"klo voucher gofood gak berlaku ditempat yg gak terdaftar ya udh, jgn dipersulit, tinggal dikasih tau aja gak ush dijadwal2lin segala",2
karna lama,4
oke,5
hati-hati buat semua yang ajukan gopay pinjam tahun 2026 kalau telat sehari bakal diteror kejam kata katanya luar biasa kejam mending jangan nanti kena mental lebih baik cari yang lainnya ataupun lebih baik jangan,1
"driver gada yg niat, gerimis dikitt pada off semua gada driver, telat kereta kan",1
"pelayanan baik, lebih ditingkatkan lagi 👍",5
